name,prompt,negative_prompt
3D-face-01,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,perfect face,detailed face,beautiful eyes,pretty face,(bright skin:1.3),(simple background),(depth of field)",
3D-general-01,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,(simple background),(depth of field)",
3D-general-neg-01,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,(simple background),(depth of field) dark theme, low key, soothing tones, muted colors, high contrast","orange, oversaturated, faint, faded, grayscale, black and white, b&w, (deformed, distorted, disfigured:1.3), poorly drawn, bad anatomy, wrong anatomy, extra limb, missing limb, floating limbs, (mutated hands and fingers:1.4), disconnected limbs, mutation, mutated, ugly, disgusting, blurry, amputation
"
3D-general-02,"realistic, simple background,(realistic:1.5),masterpiece, Extremely detailed CG unity 8k wallpaper, best quality, highres:1.2),(ultra_detailed, UHD:1.2),(pixiv:1.3),perfect illumination,distinct,unreal engine,sidelighting,(simple background),(depth of field) dark theme, low key, soothing tones, muted colors, high contrast",
